brakePower,speed,car_model,result
13,75,2,0
18,45,4,1
9,50,4,0
21,35,1,1
19,35,4,1
20,40,4,1
22,35,2,1
12,70,4,0
5,50,4,0
15,75,1,0
13,50,3,1
10,30,1,1
17,65,2,1
27,55,3,0
1,30,4,1
16,35,3,1
15,35,4,1
2,30,1,1
24,65,3,0
6,80,2,0
21,45,4,1
2,45,3,1
26,65,4,0
25,75,1,0
24,80,4,1
23,80,3,1
25,45,4,1
6,75,1,0
15,80,3,1
4,75,1,0
16,70,1,0
15,55,4,1
25,60,3,0
8,50,2,0
4,50,3,1
27,55,4,0
20,40,3,1
24,50,1,1
14,45,3,1
14,75,4,0
12,40,3,1
1,40,2,1
13,75,3,0
20,45,1,1
22,70,3,0
2,55,3,1
21,70,3,0
27,35,4,1
26,35,2,1
9,65,2,0
24,35,3,1
2,70,3,0
14,65,2,0
4,55,4,0
17,40,1,1
10,60,3,0
6,30,4,1
3,60,1,0
21,50,2,1
19,75,4,0
22,75,4,0
1,70,2,0
14,55,2,0
12,60,3,0
25,80,1,1
9,55,4,0
4,55,3,1
3,75,3,0
19,65,1,0
5,80,1,1
21,45,4,0
4,65,4,0
1,70,1,0
7,65,3,0
17,30,4,1
15,40,3,1
20,35,4,1
1,80,4,0
3,30,3,1
7,45,2,1
3,75,1,1
12,35,2,1
9,40,4,1
22,30,3,1
18,60,1,0
3,35,3,1
15,70,1,0
3,50,2,0
8,45,4,1
7,50,3,0
18,65,3,0
23,60,3,0
27,50,3,1
20,80,1,1
4,60,1,0
10,40,2,1
5,40,4,1
22,40,4,1
7,30,4,1
14,45,3,0
14,75,3,1
9,60,3,0
10,35,1,0
2,55,4,0
25,60,1,0
7,60,1,0
14,60,3,0
12,80,3,1
26,60,3,0
16,30,4,1
23,55,1,0
12,65,4,1
13,30,1,1
26,75,3,1
18,40,1,1
21,75,3,1
17,35,2,0
16,60,3,0
11,45,1,0
21,65,3,0
1,45,2,0
7,80,3,1
10,45,4,1
6,60,3,0
12,30,2,1
17,35,1,1
18,55,3,0
2,50,3,0
15,80,4,1
14,65,1,1
15,55,3,1
9,35,1,1
16,75,4,0
16,50,1,0
18,40,2,0
6,55,3,0
11,45,2,0
24,75,1,1
24,30,1,0
15,30,2,0
9,35,3,1
13,30,3,1
1,80,3,1
9,40,1,1
25,45,2,0
25,40,1,1
13,35,1,0
25,30,3,1
12,65,1,1
2,55,1,0
21,40,1,1
19,45,3,0
9,65,4,1
9,60,1,0
20,45,2,0
8,40,3,1
14,80,3,1
4,35,1,0
4,70,3,1
26,55,3,0
11,70,4,0
8,45,1,1
4,45,2,0
4,70,4,0
21,50,3,0
18,30,2,0
6,55,4,0
8,60,4,0
5,65,3,0
6,35,3,1
20,65,3,1
3,70,4,0
13,55,1,1
6,50,3,1
7,30,1,1
12,70,1,1
10,35,2,0
16,35,4,1
18,30,1,1
19,45,2,0
13,35,3,1
17,35,3,1
1,45,3,1
2,50,4,1
4,80,3,1
12,80,1,1
4,75,4,0
5,60,1,1
13,30,4,1
2,45,2,0
26,70,3,1
20,70,1,0
4,35,2,0
12,35,1,1
25,80,3,1
19,55,1,1
22,70,4,0
21,55,4,1
20,50,4,1
12,55,4,0
6,40,2,0
1,60,3,0
24,35,1,0
12,65,3,1
2,30,1,0
24,55,1,1
26,55,1,1
6,70,4,0
23,80,1,0
5,70,3,1
18,55,4,1
8,75,3,1
24,50,3,0
7,45,3,0
2,80,1,1
25,45,4,0
7,60,3,0
23,30,1,0
23,75,1,0
12,40,3,0
10,50,3,0
5,80,3,1
16,35,2,0
17,60,1,1
2,65,3,1
8,55,3,0
26,30,2,0
15,60,4,1
7,65,1,1
22,65,3,1
25,35,4,1
4,35,3,0
15,65,3,1
1,30,2,0
20,65,1,1
21,80,1,0
1,45,4,1
3,40,3,0
16,80,3,1
24,75,1,0
13,65,3,1
10,75,1,1
26,80,1,0
18,35,3,0
1,35,4,1
20,30,4,1
27,80,4,1
2,30,4,1
25,50,4,0
18,40,3,0
3,45,4,1
6,45,1,0
26,80,3,0
26,30,4,1
13,30,1,0
12,35,1,0
24,60,3,1
12,50,3,0
3,30,1,1
6,50,3,0
11,55,4,0
16,80,4,1
7,55,3,0
1,60,3,1
15,30,4,1
12,30,1,1
12,60,3,1
26,45,3,0
18,75,3,0
5,40,3,1
22,30,1,0
5,60,4,0
8,35,1,0
27,35,1,0
23,60,3,1
23,35,1,0
11,35,4,1
7,40,4,1
17,55,3,1
17,70,3,1
8,40,4,1
18,40,3,1
15,75,3,1
8,70,4,0
25,45,3,0
18,55,3,1
9,30,4,1
8,80,1,0
12,75,1,0
25,70,4,1
12,70,4,1
19,75,3,1
9,80,1,0
16,75,4,1
24,50,4,1
22,45,4,1
21,35,1,0
20,50,4,0
15,35,3,1
14,30,1,0
22,75,3,0
10,75,1,0
10,60,1,0
7,65,3,1
17,70,3,0
9,70,3,1
13,40,3,1
22,70,4,1
22,40,1,1
3,45,3,0
20,80,4,1
15,50,3,0
13,60,1,1
4,55,1,0
21,70,4,1
5,70,4,1
4,75,4,1
5,50,4,1
20,70,3,0
22,45,1,1
16,65,1,0
17,40,4,1
7,55,1,1
17,45,3,0
2,65,4,0
9,75,4,1
2,70,4,1
7,70,4,1
3,35,4,1
13,60,3,1
2,55,4,1
27,80,4,0
11,60,1,1
6,65,4,0
11,55,1,0
3,50,3,1
7,45,4,0
16,80,4,0
22,65,4,1
20,45,3,0
23,45,1,1
13,75,4,1
17,65,1,0
18,80,3,0
7,80,4,0
6,75,3,0
19,30,4,1
8,60,1,0
17,30,1,1
11,75,3,0
15,80,4,0
14,45,1,1
21,50,4,0
10,50,1,1
8,75,3,0
6,30,3,1
23,40,4,0
9,50,1,0
12,65,4,0
24,55,3,1
9,55,1,1
17,70,4,1
19,45,3,1
23,40,1,1
14,65,4,1
21,60,4,0
1,30,3,0
12,45,3,1
23,35,4,1
19,65,3,0
7,70,3,0
18,65,3,1
22,45,3,1
10,50,3,1
16,55,1,0
19,35,3,0
20,70,4,1
1,35,1,1
16,40,4,1
27,45,4,0
15,65,3,0
14,40,1,0
8,40,1,1
25,80,4,0
21,50,1,0
23,75,4,1
1,50,3,1
24,50,1,0
17,75,4,1
20,60,4,0
16,65,4,1
10,65,4,1
27,30,4,1
10,35,4,1
21,55,4,0
4,35,4,1
26,65,3,0
7,50,4,0
2,35,1,0
5,55,3,1
11,50,1,0
8,35,1,1
21,80,3,1
3,30,4,1
11,70,4,1
6,35,4,1
22,30,4,1
21,70,3,1
11,55,3,1
10,35,1,1
15,60,3,0
24,70,3,1
12,50,4,0
20,55,4,0
1,70,3,0
24,55,3,0
10,30,3,0
10,65,3,0
15,45,4,0
15,70,3,1
19,55,3,0
26,45,3,1
14,60,4,0
6,65,4,1
12,50,3,1
10,75,3,1
10,70,3,1
10,50,4,1
1,75,3,1
12,40,4,1
25,75,4,0
25,70,3,1
19,55,3,1
10,75,4,0
7,40,1,0
20,70,4,0
20,60,4,1
7,55,4,0
21,40,1,0
25,50,3,1
14,45,4,1
20,65,4,1
10,55,3,0
19,45,4,1
13,55,3,0
1,40,1,0
25,50,3,0
7,35,3,1
12,45,3,0
18,80,4,0
25,45,3,1
11,80,3,1
13,60,3,0
11,50,3,0
11,30,1,0
27,75,3,1
7,40,3,1
18,50,4,0
6,40,1,0
3,65,3,1
25,65,4,1
19,60,4,1
23,70,3,1
5,65,4,1
18,50,3,1
17,40,3,1
25,60,4,1
25,40,4,1
10,80,3,0
19,50,4,0
11,35,1,0
25,55,4,0
27,70,3,0
23,60,4,1
21,80,4,0
26,55,4,1
27,40,3,0
8,80,4,0
8,35,4,1
23,30,4,1
26,70,3,0
25,35,3,1
1,35,3,1
8,45,3,1
20,50,3,0
11,45,3,0
1,70,4,1
22,60,3,1
14,75,3,0
27,55,3,1
19,40,3,0
26,65,4,1
4,60,3,1
11,60,3,1
25,60,3,1
13,50,4,0
6,45,3,0
24,70,3,0
15,45,4,1
11,40,4,1
2,45,4,0
13,80,4,0
15,75,4,0
12,70,3,0
27,35,3,0
10,60,3,1
26,50,4,0
21,35,3,1
1,75,3,0
16,70,4,1
25,70,4,0
18,70,4,1
13,65,4,0
6,55,3,1
11,35,3,1
4,70,4,1
19,65,3,1
14,60,3,1
10,40,3,0
12,40,4,0
18,80,4,1
23,70,4,1
5,60,4,1
14,40,3,1
7,40,3,0
9,65,3,0
13,55,4,1
19,60,3,1
6,70,3,0
20,60,3,1
2,40,3,0
22,65,4,0
27,65,3,0
27,45,3,1
9,45,3,0
11,60,3,0
3,75,4,0
25,30,4,1
15,70,4,0
10,30,4,1
17,40,4,0
2,50,3,1
18,40,4,0
8,60,4,1
4,40,4,0
4,65,3,0
19,40,4,0
8,60,3,0
2,60,3,1
17,60,3,0
3,80,4,1
4,40,3,0
17,35,3,0
24,70,4,0
3,50,4,0
24,55,4,1
9,45,4,0
1,40,4,1
7,60,4,0
25,30,3,0
4,55,4,1
