brakePower,speed,car_model,result
24,40,2,1
21,45,1,1
22,35,4,1
24,35,1,1
26,50,3,0
16,30,2,1
11,35,1,1
12,40,3,1
12,35,4,1
12,30,1,1
12,45,1,1
5,40,4,1
6,35,4,1
27,35,4,1
23,80,1,1
21,40,2,1
24,45,4,0
19,30,1,1
27,30,4,1
7,50,1,1
15,55,3,1
1,60,1,1
10,60,4,1
3,55,2,1
25,55,1,0
14,65,4,0
24,40,1,1
8,50,4,1
9,65,4,0
27,45,3,0
20,55,4,0
16,65,4,0
1,75,4,0
11,75,4,0
15,75,4,0
1,75,1,0
21,75,1,0
22,55,1,0
19,65,1,0
17,65,1,0
8,50,1,0
25,60,4,1
1,60,4,0
3,65,4,0
19,70,4,0
9,30,4,1
4,45,1,1
13,75,3,0
22,60,1,0
12,55,2,0
7,65,2,0
23,50,4,1
12,45,4,1
2,80,4,0
10,75,4,0
9,70,1,0
10,60,1,0
1,55,4,1
9,50,1,0
15,40,4,1
10,50,4,1
3,60,1,1
6,65,4,1
22,55,1,1
16,50,1,0
20,80,3,1
6,45,4,1
10,30,1,1
27,65,4,0
5,65,1,0
21,65,4,0
7,80,3,1
20,40,2,0
17,60,4,0
8,60,3,0
10,55,1,1
20,40,1,1
1,30,4,1
15,40,1,0
18,40,4,1
10,65,1,0
13,45,1,1
6,50,1,0
11,30,1,1
18,30,4,1
19,40,4,1
12,75,4,0
20,55,4,1
27,50,3,0
1,70,4,0
26,50,1,0
15,30,1,1
10,65,4,0
4,65,4,1
12,60,4,0
23,35,1,0
7,60,1,0
21,50,1,0
10,50,4,0
19,55,4,0
23,55,4,1
22,45,1,1
10,40,1,0
1,40,1,1
1,35,1,1
27,60,4,1
27,55,4,1
9,75,3,1
9,50,4,1
12,80,3,1
8,45,4,1
2,70,4,0
17,35,4,1
3,80,3,1
20,55,1,0
16,75,3,1
20,30,4,1
7,50,1,0
15,60,1,0
10,55,1,0
8,45,1,1
8,30,4,1
7,50,4,1
6,60,4,0
24,35,1,0
13,70,3,1
13,80,3,1
24,50,4,1
26,50,4,0
