brakePower,speed,car_model,result
9,65,2,0
23,65,2,1
9,65,4,0
26,80,1,0
5,50,4,1
14,40,1,1
20,60,4,1
11,70,1,0
6,55,3,0
14,55,2,1
9,75,3,0
27,70,2,0
27,80,4,1
24,45,4,1
5,65,2,0
18,30,2,1
10,80,4,0
26,35,3,1
27,75,2,0
18,40,4,1
6,50,2,1
14,80,1,0
9,45,4,1
16,35,4,1
6,55,2,1
24,55,3,0
11,80,3,0
17,50,1,0
16,30,4,1
10,30,1,1
25,30,1,1
24,55,2,1
13,75,4,0
10,35,1,1
24,65,3,0
4,60,2,0
14,35,3,1
5,35,2,1
16,60,4,1
12,65,1,0
20,35,2,1
8,40,1,1
16,65,2,0
12,45,4,1
12,70,1,0
18,80,4,1
25,65,2,0
5,55,3,0
4,80,1,1
14,80,4,0
6,40,1,1
8,75,3,0
13,65,1,0
1,80,3,1
4,50,2,0
11,40,1,1
7,65,4,0
14,55,4,1
3,30,1,1
3,70,2,0
21,50,4,1
14,40,3,1
6,65,4,1
12,55,1,1
5,45,4,1
17,65,3,0
3,45,3,1
27,80,3,1
2,35,1,1
12,50,3,1
6,60,4,1
27,35,2,1
5,60,4,1
19,70,1,1
13,70,3,0
4,60,1,0
14,60,2,0
20,60,1,0
17,50,2,0
23,80,1,1
3,80,4,0
21,35,3,1
8,45,3,1
1,45,1,0
6,35,1,1
27,60,2,0
25,45,2,1
23,40,4,1
6,60,4,0
7,50,2,0
4,35,3,1
3,70,3,0
19,45,2,0
12,30,2,1
26,30,3,1
13,55,2,0
25,30,3,1
4,55,1,0
18,35,4,1
24,40,1,0
26,35,1,0
8,35,1,1
20,75,1,1
12,75,1,1
6,55,4,0
24,75,4,0
11,50,4,1
19,40,1,0
18,45,3,1
10,60,3,0
23,70,4,0
15,80,4,1
21,30,3,1
2,65,4,1
22,30,1,1
6,60,3,1
24,50,4,1
14,30,1,1
21,75,1,1
5,55,4,0
3,50,3,1
25,50,4,1
23,40,2,1
22,45,4,0
26,35,2,1
10,50,1,1
1,45,2,1
8,75,1,1
16,35,2,1
26,80,1,1
20,45,2,0
21,40,4,1
26,55,1,0
3,80,4,1
22,60,4,0
25,45,3,0
3,75,4,0
1,65,4,1
4,65,4,1
10,55,3,1
23,45,4,0
9,70,1,1
26,35,2,0
2,75,1,1
9,35,4,1
18,50,3,1
2,50,3,1
3,65,4,0
12,35,3,1
23,70,3,1
10,45,2,0
17,65,1,1
8,30,3,1
14,70,3,1
11,55,4,0
7,35,4,1
26,30,4,1
6,65,4,0
21,35,2,0
21,45,4,1
25,50,3,1
22,60,1,1
8,30,4,1
16,45,4,1
21,80,4,1
16,40,2,0
12,60,4,0
11,60,1,1
5,50,2,0
3,40,3,0
18,30,1,1
13,55,4,0
22,75,4,1
